instruction,output
개에서 뇌 종양의 유형을 진단하기 위해 사용되는 MRI의 특징은 무엇입니까?,"개에서 뇌 종양의 유형을 진단하기 위해 사용되는 MRI는 다발성 고강도 병변을 T2 가중 이미지, 경사도 에코 시퀀스 및 IV 조영 후의 격렬한 강화로 나타냅니다."
"핵심 개념을 설명하세요: '비산성 역류 사건'이란 무엇이며, 왜 중요합니까?","비산성 역류 사건은 산성이 아닌 내용물이 식도와 인후를 역류하는 사건입니다. 이는 산성 역류와 달리 증상이 없는 경우가 많지만, 여전히 폐렴이나 성대 손상 등 심각한 합병증을 일으킬 수 있습니다."
이 연구에서 ciprofloxacin을 투여받은 개들의 혈중 농도를 측정하기 위해 어떤 방법이 사용되었나요?,비교적 적은 수의 개들을 대상으로 한 이 연구에서는 ciprofloxacin을 경구 투여한 후 1일 이상 경과하여 혈중 농도가 안정된 상태에 도달한 후에 혈안을 채취했습니다.
TCD가 주로 사용되는 분야는 무엇입니까?,TCD(transcranial Doppler ultrasound examination)는 주로 뇌의 동맥 혈류를 평가하기 위해 사용됩니다.
말의 천식 진단은 주로 무엇을 기반으로 합니까?,말의 천식 진단은 주로 비정상적인 기관지 세척액(BALF) 세포학에 기반합니다.
개에서 위벽 두께와 혈청 알부민 농도 사이의 상관관계가 있습니까?,"예, 개에서 위벽 두께는 혈청 알부민 농도와 상관관계가 있습니다."
"CDH가 AMB와 비교하여 CXCL6, CXCL8, IL-6, IL-1β, IL-11 및 COX-2의 mRNA 표현에 미치는 영향은 무엇입니까?","CDH는 AMB와 비교하여 CXCL6, CXCL8, IL-6, IL-1β, IL-11 및 COX-2의 mRNA 농도를 감소시킵니다."
basal nuclei의 기능은 무엇입니까?,"기저핵(basal nuclei)은 뇌의 복잡한 통합 신경 회로들의 집합체입니다. 이들은 운동 조절과 눈운동 조절에 중요한 역할을 하며, 피질과 상호 연결되어 있습니다."
PPID 진단을 위해 과거에 권장되었던 검사법은 무엇입니까?,과거에는 19시간의 야간 덱사메타손 억제 검사가 PPID 진단을 위해 권장되었습니다.
D. repens 감염이 개에서 앨범린뇨와 단백뇨를 일으킬 수 있습니까?,"예, D. repens 감염은 개에서 앨범린뇨와 단백뇨를 일으킬 수 있습니다."
개에서 심부전(CHF)의 단계와 관련된 생화학적 변화는 무엇입니까?,"심부전(CHF)의 단계는 개에서 fractional excretion of sodium, chloride 및 potassium의 변화를 포함한 생화학적 변화를 나타냅니다. 특히, CHF의 단계 C와 D는 preclinical 단계인 B1과 B2에 비해 이러한 전해질들의 분비율이 유의미하게 높았습니다."
CCDR 점수가 높은 개는 인지 기능 장애를 겪을 위험이 더 높습니다. 이는 어떤 종류의 질병과 관련이 있습니까?,알츠하이머병
Ullrich-like congenital muscular dystrophy (CMD)의 증상은 무엇입니까?,"근육 약화, 근골격계 이상 및 관절의 과도한 이완"
"CKD 진단 후, CKD의 진행 상태를 평가하기 위해 사용되는 방법은 무엇입니까?","CKD(만성 신장 질환) 진단 후, 진행 상태를 평가하기 위한 일반적인 방법은 혈중 크레아티닌(CREA) 또는 대칭 차메틸라르진(SDMA) 농도를 모니터링하는 것입니다."
대안적인 RAAS 경로는 어떤 작용을 합니까?,"대안적인 RAAS 경로는 혈관확장, 나트륨 배출, 항염증 효과를 매개합니다."
VHS와 VLAS가 동시에 사용되는 이유는 무엇입니까?,"VHS(Vertebral Heart Size)와 VLAS(Vertebral Left Atrial Size)는 모두 심장 크기를 측정하는 데 사용되며, 특히 개에서 MMVD(Myxomatous Mitral Valve Disease)의 심각성을 평가하는 데 도움이 됩니다."
개에서 염증성 장질환  (IBD)의 병태생리에 대해 설명하시오.,개에서 IBD는 mucosal 면역 체계 기능 장애와 luminal 항원에 대한 비정상적인 내성을 포함하는 복잡한 질환입니다.
개에서 tonsillar carcinoma의 증상은 무엇입니까?,"임상 증상은 개마다 다양하지만, 일반적인 증상으로는 발열, 구강 내 덩어리 또는 궤양, 침 분비 증가, 식욕 감퇴, 체중 감소 등이 있습니다."
두 번째 사례에서 심장 murmur과 색 흐름 도플러 초음파에서 관찰된 난류 흐름의 원인은 무엇이었을까요?,두 번째 사례에서 심장 murmur과 색 흐름 도플러 초음파에서 관찰된 난류 흐름의 원인은 좌심실과 우심실 사이의 결절인 특발성 개구부였습니다.
약물 복용을 위해 개에게 CCNU를 투여하는 것은 어떤 경우에 필요할까요?,"CCNU는 개에게 암 치료를 목적으로 투여되는 약물로, 작은 개나 고양이에게 안전하고 효과적으로 투여하기 위해 복용량을 맞춤화해야 할 때 사용됩니다."
ePARR 프로토콜이 다른 유사한 PARR 프로토콜과 어떻게 다른가요?,ePARR 프로토콜은 낮은 입력 재료 요구 사항과 모든 일반적인 진단 샘플 유형에 대한 우수한 성능으로 구별됩니다.
CIE 진단 및 모니터링을 위한 비침습적인 방법에는 어떤 것이 있나요?,ultrasonography
개에서 발작의 유형 중 가장 흔한 것은 무엇입니까?,국소 발작
고양이의 주된 호르몬 분비 이상은 무엇입니까?,고양이의 주된 호르몬 분비 이상은 알도스테론 분비 이상입니다.
GFR 추정치가 신장 기능 평가를 위해 임상적으로 유용한 이유는 무엇입니까?,"GFR 추정치는 신장 질환의 조기 진단에 도움이 되며, 특히 사구체 여과율이 감소하기 전에 만성 신장 질환을 진단하는 데 유용합니다."
"고양이의 심장 질환과 당뇨병이 신장 기능에 미치는 영향을 통제하면서, SDMA 수치가 높은 것과 관련된 요인은 무엇입니까?","연령, 체중, 혈압 (수축기, 이완기, 평균 동맥압), 적혈구 농도, 혈청 크레아티닌 농도, 혈액요소질소 농도 및 티록신 농도입니다."
NT-proBNP가 고양이의 심장 질환을 진단하는 데 도움이 될 수 있는 이유는 무엇입니까?,"NT-proBNP는 심장 질환의 biomarker로, 고양이를 포함한 여러 종에서 증가된 농도로 나타납니다. 표준 실험실 기술로 측정할 수 있으며, 심장 질환의 존재를 나타내고 추가 평가를 정당화하는 데 도움이 될 수 있습니다."
"MRI 검사 후, 소유자가 선택한 치료법은 무엇이었습니까?",수술적 치료
뉴질랜드에서 젊은 말들의 호흡기 샘플에서 배양된 박테리아의 가장 흔한 유형은 무엇입니까?,스트렙토코커스속(Streptococcus spp.)
개에서 전립선암의 치료 옵션에는 어떤 것들이 있습니까?,"수술, 방사선 치료, 레이저 치료, 전립선 색전술 또는 화학색전술, 요도 내 카테터화 또는 요도 스텐트 삽입 등이 포함됩니다."
말의 세피스 치료를 위해 PB-MSC를 사용하는 것에 대한 가설은 무엇입니까?,"PB-MSC를 정맥 내로 투여하면 LPS로 유도된 말의 임상적 증상, 병리학적 이상, 염증성 사이토카인 발현 및 산화 스트레스가 감소할 것이라는 가설을 세울 수 있습니다."
개에서 갑상선 기능 저하증 진단에 사용되는 검사 방법은 무엇입니까?,"개에서 갑상선 기능 저하증을 진단하기 위해서는 혈중 티록신(TT4) 농도 측정, 혈중 티록신 방출 호르몬(TSH) 농도 측정, 또는 방사성 요오드 섭취 검사 등이 사용될 수 있습니다."
퇴행성 관절염을 치료하기 위해 수술을 받은 소의 생존 기간은 얼마나 될까요?,퇴행성 관절염으로 인한 수술 후 소의 평균 생존 기간은 약 1년입니다.
표 1의 '간외 담관 폐쇄' 항목에서 초음파 검사(US)와 컴퓨터 단층 촬영(CTA)의 정확성은 어떻게 수정되었습니까?,7/26 (27%)로 수정되었습니다.
문맥에서 언급된 동물의 증상은 무엇입니까?,"이 동물은 골격근의 비정상적인 움직임과 경련을 포함하여 여러 신경학적 이상을 보였습니다. 또한 통증 반응, 목과 엉덩이의 비정상적인 움직임, 전형적인 뇌척수액 증후군이 있었습니다."
"MRI에서 다발성, 작은, 잘 정의된, 신호를 비우는 구조는 무엇을 나타냅니까?","다발성, 작은, 잘 정의된, 신호를 비우는 구조는 혈관 내 혈액의 흐름으로 인한 것으로 추정되는 혈관 구조를 나타냅니다."
말에서 발생하는 심장 문제 중 하나가 무엇입니까?,말에서 발생하는 심장 문제 중 하나는 완전한 심실세동(第三度心室傳導 блок)입니다.
AKI 환자의 신장 기능 회복을 예측하는 데 도움이 될 수 있는 신장 기능 매개 변수는 무엇입니까?,"AKI 환자의 신장 기능 회복을 예측하는 데 도움이 될 수 있는 신장 기능 매개 변수로는 소변 생산량, 혈중 크레아티닌 농도, 사구체 여과율, solute clearance 및 solute fractional excretion 등이 있습니다."
개에서 항공기 질환(AeroD)의 진단에 videofluoroscopic swallow study (VFSS)가 어떻게 도움이 될 수 있나요?,VFSS는 개에서 AeroD를 진단하는 데 도움이 될 수 있는 유용한 도구입니다. 이 연구는 75%의 RESP 개에서 이상을 보여주었습니다.
"말의 급성기 단백질 중 하나이며, 염증이 있을 때 빠르게 증가하는 것은?",SAA (Serum Amyloid A protein)
개에서 부신피질 기능 항진증(PDH)의 진단은 어떻게 이루어집니까?,임상적 증상과 두 번의 연속된 아침 소변 샘플에서 증가된 UCCR (참고 범위: 0.3-8.3 x 10^6 32)에 기반하여 PDH 진단을 내립니다.
개에서 시스템성 고혈압 (SH)의 진단에 대해 설명하십시오.,"도플러와 오실로메트릭 장치는 일반적으로 개와 고양이에서 비침습적이고 간접적인 혈압 (BP) 측정을 위해 사용됩니다. 그러나 과도한 움직임이나 떨림, 흥분 또는 불안은 이러한 장치를 사용하여 정확한 BP 측정을 방해할 수 있습니다."
고양이의 코발라민 결핍이 초래하는 결과는 무엇입니까?,"고양이의 코발라민 결핍은 위장관의 분화 세포의 증식을 저해하여 말초 신경병증, 빈혈, 인지 장애와 같은 다양한 질병을 유발할 수 있습니다."
IV 카테터로 사용되는 Jelco 2 IV Catheter의 제조사는 누구입니까?,스미스 메디컬 인터내셔널 Ltd
개에서 전조체 면역 매개성 빈혈 (PIMA)의 특징은 무엇입니까?,개에서 PIMA는 비재생성 빈혈과 비효율적인 적혈구 생성을 특징으로 합니다.
바톤엘라(Bartonella) 감염의 주요 증상은 무엇입니까?,"바톤엘라 감염의 주요 증상으로는 발열, 피로, 근육통, 림프절 부종 등이 있습니다."
IgG4-RD는 개에서 어떤 임상 증상을 보일 수 있습니까?,"개에서 IgG4-RD는 불명확한 임상 증상, 림프구증식성 종양, 제한된 다클론성 감마병증, 호산구증가증 또는 이 조합을 포함한 다양한 증상을 보일 수 있습니다."
MDRO의 출현이 인간과 동물 모두에게 미치는 영향은 무엇입니까?,MDRO의 출현은 인간과 동물 모두에게 중요한 건강 위협을 초래합니다.
"개에서 glioma의 다양한 유형과 관련하여, MRI에서 oligodendrogliomas와 astrocytomas를 구별하는 특징적인 모습은 무엇인가요?","oligodendrogliomas는 smooth margins과 T1-weighted hypointensity을 보이며, astrocytomas에 비해 ventricles와 인접한 경향이 더 높습니다."
개에서 기능적 완전 척수 손상(SCI)을 유발하는 IVDH의 유형은 무엇입니까?,Hansen Type 1 IVDH
개에서 잘 조절된 부신기능항진증의 특정 인구에서 ACTH 자극 검사 결과를 비교하기 위해 Trilostane을 투여한 후 3-6시간과 9-12시간 사이에 어떤 시간대가 선택되었습니까?,3-6시간
이 연구에서 가장 흔한 박테리아 유형은 무엇입니까?,그람 양성균
개에서 말초 부종의 원인을 진단하기 위해 어떤 검사를 사용합니까?,"말초 부종의 원인을 진단하기 위해 개에서 일반적으로 사용되는 검사에는 전체 혈구 계산, 혈액 화학 프로필, 소변 검사, 영상 진단, 수술 또는 부검이 포함됩니다."
초음파를 이용한 경피적 담낭 천자는 무엇을 위해 수행됩니까?,초음파를 이용한 경피적 담낭 천자는 고양이의 담낭에서 염증의 원인이 되는 박테리아를 진단하고 치료하기 위해 수행됩니다.
"고양이의 심장 구조물 중 왼쪽 심방, 왼쪽 심실, 오른쪽 심실, 오른쪽 심방은 무엇입니까?","고양이의 심장 구조물은 왼쪽 심방, 왼쪽 심실, 오른쪽 심실, 오른쪽 심방으로 구성됩니다."
이 문서에서 수정된 내용은 무엇입니까?,"Lauren Markovic의 자격증에 대한 수정 사항입니다. DVM, DACVIM (Cardiology)."
AF가 가장 흔한 비정상적인 빈도로 영향을 미치는 것은 무엇입니까?,AF(심방 세동)는 말에게 가장 흔한 부정맥입니다.
개에서 위산 생성을 억제하는 데 사용되는 약물 유형은 무엇입니까?,개에서 위산 생성을 억제하는 데 사용되는 약물은 양성자 펌프 억제제(PPI)입니다.
이 기사의 저자들은 왜 Flesch-Kincaid Grade Level과 Flesch Reading Ease Score를 언급했습니까?,Flesch-Kincaid Grade Level과 Flesch Reading Ease Score는 글의 읽기 용이성을 평가하는 도구입니다. 이 기사에서는 이러한 도구를 사용하여 평가된 수의 임상 시험 설명서가 권장 6학년 독서 수준을 훨씬 뛰어넘는다고 언급했습니다.
"네오태널 칼프 디어리아(Neonatal Calf Diarrhea, NCD)의 주요 원인은 무엇입니까?","NCD는 주로 감염성과 비감염성 원인에 의해 발생합니다. Enterotoxigenic Escherichia coli (ETEC) F5, rotavirus, coronavirus, 그리고 Cryptosporidium parvum (C. parvum)이 주요 감염성 원인균입니다."
말 목장에서 발생하는 대기 오염의 주요 원인은 무엇입니까?,"대기 오염의 주요 원인은 박테리아 내독소, 곰팡이, 집먼지진드기 잔해, 식물 잔해 및 비유기 먼지로 구성된 대기 먼지입니다."
BVDV(bovine viral diarrhea virus)와 관련된 주요 임상 증상은 무엇입니까?,"BVDV와 관련된 주요 임상 증상으로는 설사, 발열, 호흡 곤란, 유산 등이 있습니다."
"피부 질환을 가진 소에 대해, 어떤 임상적 발견이 있었나요?","피부 질환을 가진 소는 еросions와 ulcerations를 보였고, 특히 사지 및 골격의 돌출 부분에서 두드러졌습니다."
고양이의 RAAS(Renin-Angiotensin-Aldosterone System)가 과도하게 활성화되면 어떤 문제가 발생할 수 있나요?,고양이의 RAAS(Renin-Angiotensin-Aldosterone System)의 과도한 활성화는 혈관염과 조직 Remodeling을 일으켜 심장 및 신장에 손상을 줄 수 있습니다.
개에서 급성 신장 손상을 식별하고 회복을 평가하는 데 도움이 되는 생체표지자의 역할은 무엇입니까?,개에서 급성 신장 손상을 식별하고 회복을 모니터링하는 데 도움이 될 수 있는 유용한 생체표지자로 Urinary Neutrophil Gelatinase-associated Lipocalin (uNGAL)이 제안되었습니다.
고양이의 구강암의 주요 원인은 무엇입니까?,"고양이의 구강암의 주요 원인은 아직 명확히 밝혀지지 않았지만, 연구에서는 몇 가지 잠재적인 위험 요인을 제안합니다. 여기에는 환경 담배 연기(ETS), 특정 식단, 만성 구강 질환의 병력이 포함될 수 있습니다."
수술 후 생존율이 가장 높은 환자의 특징은 무엇입니까?,"정상 체중, 정상 혈중 단백질 수치, 젊고 건강한 상태를 유지한 남성"
"개에서 코시디오이마이코시스(coccidioidomycosis)와 신장 질환의 연관성에 대한 연구에서, 연구자들은 신장 조직 검사를 통해 어떤 유형의 신장 병변을 발견했습니까?",면역복합체 글루메루론신염(ICGN)을 시사하는 글루메루러 병변
혈액이나 혈액 구성요소의 수혈은 일반적으로 무엇을 위한 생명 유지 조치입니까?,생명 유지
소 및 양에서 폐쇄성 요석증의 진단 시 고려해야 할 임상적 징후에는 어떤 것이 있습니까?,"폐쇄성 요석증의 임상적 징후로는 혈중 크레아티닌과 BUN 수치의 상승, 배뇨 이상 (배뇨 빈도 감소, 배뇨 시 통증, 무뇨), 방광 또는 요도의 압박으로 인한 골반 신경 증후군 등이 있습니다."
MRI에서 뇌의 비정상적인 구조물 중 하나는 무엇입니까?,MRI에서 뇌의 비정상적인 구조물 중 하나는 확대된 복수 venticles입니다.
앱을 사용하여 수의학에서 체액 요법 계획을 수립하는 것이 가능한가?,"예, 연구 결과에 따르면 앱을 사용하여 체액 요법 계획을 수립할 수 있으며, 이는 수의사들이 보다 나은 계획을 세우는 데 도움이 될 수 있습니다."
AMPK가 인슐린과 혈당 역학에 어떻게 영향을 미칩니까?,AMPK(암브로사이드 활성화된 단백질 키나아제)는 인슐린 신호 전달을 향상시키고 글리코겐 합성 및 혈당 흡수를 증가시킴으로써 인슐린 감수성을 향상시키는 것으로 생각됩니다.
개에서 비정상적인 갑상선 기능은 어떤 증상을 나타냅니까?,"개에서 비정상적인 갑상선 기능은 신체의 다양한 시스템에 영향을 미칠 수 있습니다. 이는 체중 감소, 구토, 설사, 심장 박동수 증가, 과도한 식욕, 탈모, 피로 및 근육량 감소와 같은 증상으로 나타날 수 있습니다."
코르티코스테로이드 치료의 목표는 무엇입니까?,코르티코스테로이드 치료는 염증을 줄여 천식의 임상적 증상을 완화시키는 것을 목표로 합니다.
수의학에서 항미생물 약제(AMD) 사용을 평가하는 것은 왜 중요합니까?,항미생물 약제(AMD) 사용 관행의 평가는 수의학에서 항생제 내성(AMR)을 줄이기 위한 핵심 원칙입니다. 이는 인간과 동물 건강 모두에 중요한 협력을 촉진하는 원 헬스(One Health) 접근법의 일부입니다.
이 연구에서 개들에게 처방된 두 가지 약물은 무엇입니까?,오메프라졸과 카르프로펜
개에서 간 질환과 관련된 위장관 출혈의 가능한 원인은 무엇입니까?,간 질환이 있는 개에서 위장관 출혈의 가능한 원인은 위장관 변색증 또는 위장관 변색증과 관련된 위장관 변색증입니다.
앱을 사용하여 약물을 계산할 때 오류가 발생할 수 있는 이유는 무엇입니까?,"사용자가 앱에 잘못된 정보를 입력하거나, 앱이 최신 연구나 권장 사항을 반영하지 못하거나, 사용자가 앱의 올바른 사용법을 모를 수 있습니다."
말의 DIC 진단은 주로 어떤 방법에 의해 이루어집니까?,말의 DIC 진단은 주로 사후의 조직 검사 및 혈전 형성에 대한 histological examination을 통해 이루어집니다.
신장 기능이 저하된 환자에서 fluoroquinolone 항생제의 용량 및 투여 빈도를 어떻게 조정해야 합니까?,신장 기능이 저하된 환자에서는 fluoroquinolone 항생제의 용량과 투여 빈도를 늘려야 합니다. 이는 신장 기능 저하로 인한 약물 축적 위험을 줄이기 위함입니다.
고양이에서 토코포자충(T. gondii) 감염의 주요 원인은 무엇입니까?,원인 중 하나는 오염된 물을 마시는 것입니다.
다음 중 폐동맥 고혈압의 증상인 것은?,"호흡 곤란, 청색증, 서 있기 어려움"
이 연구에 참여한 소의 수는 몇 마리입니까?,55마리
CVHD 진단 기준은 무엇입니까?,"CVHD 진단 기준은 mitral valve prolapse, 2D echocardiography에서 확인된 mitral valve leaflet thickening, color Doppler examination으로 확인된 mitral valve regurgitation으로 구성됩니다. 또한, congenital heart disease, dilated cardiomyopathy 또는 vitamin D 대사 장애와 관련된 질환이 없어야 합니다."
개에서 myokymia 및 neuromyotonia와 관련된 유전자는 무엇입니까?,CAPN1
고양이의 만성 신장 질환을 조기에 감지하기 위해 혈중 사이스타틴 C (sCysC)과 요중 사이스타틴 C (uCysC)이 잠재적인 바이오마커가 될 수 있다는 연구의 주요 결과는 무엇입니까?,"고양이의 만성 신장 질환을 조기에 감지하기 위한 잠재적인 바이오마커인 혈중 사이스타틴 C (sCysC)과 요중 사이스타틴 C (uCysC)에 대한 연구 결과, CKD 고양이는 건강한 고양이에 비해 sCysC와 uCysC/요소 농도가 유의미하게 높았습니다. 그러나 sCysC는 신장 기능 감소 여부를 구별하는 데 민감하지 않았습니다."
EPM 진단을 확인하기 위해 사용되는 ELISA 테스트의 전체 형태는 무엇입니까?,SnSAG2/4/3 ELISA
고양이의 소변에서 amoxicillin의 농도를 측정하기 위해 사용된 기술은 무엇입니까?,액체 크로마토그래피 질량 분광법
S/V가 RAAS와 NP 시스템에 미치는 영향은 무엇입니까?,"S/V는 RAAS 활성화를 감소시키고, 내재적 NP의 분해를 감소시키며, ACVIM Stage B2 MMVD가 있는 개에서 ABT의 발생을 감소시킵니다."
EJSCA는 어떤 증상을 보이나요?,"EJSCA의 임상적 증상은 급성 신경증, 비대칭 척수성 운동실조, 골반 사지의 심한 운동실조를 포함합니다."
"두 차원 조직 추적에서, 심실 (LV) 동기 시간 지수 (STI) 측정은 무엇을 평가합니까?",심실 (LV) 동기 시간 지수 (STI)는 LV 동기성을 평가합니다.
DR-70이 암 진단에 도움이 될 수 있는 이유는 무엇입니까?,"DR-70은 fibrinogen-fibrin degradation products의 일종으로, tumor에 의해 생성되어 early tumor detection에 도움이 될 수 있습니다."
코ξι엘라 번네ii(Coxiella burnetii) 감염의 주요 증상은 무엇입니까?,"코キシ엘라 번네ii 감염의 주요 증상은 낙태입니다. 또한, 열, 호흡 곤란, 피로감 등을 유발할 수 있습니다."
방사선 치료를 받을 때 말의 잘잘을 고려하는 것이 중요한 이유는 무엇입니까?,말의 복지는 치료 가능성을 결정짓는 중요한 요소이기 때문에 암의 단계와 합병증이 고려되어야 합니다.
파보바이러스 감염이 개에서 비타민 B12 결핍을 일으킬 수 있습니까?,"예, 연구에 따르면 파보바이러스 감염은 개의 비타민 B12 농도를 낮출 수 있습니다."
COSCAD'18은 어떤 유형의 임상 시험에 적합합니까?,"COSCAD'18은 6주 이상 지속되는 치료 임상 시험에 적합하며, 중등도에서 중증의 만성 비계절성 아토피 피부염을 가진 개를 대상으로 합니다."
심장 질환이 있는 개에서 마그네슘 농도가 낮아지는 이유는 무엇입니까?,"심장 질환이 진행되면서 다양한 원인으로 인해 혈중 마그네슘 농도([iMg2+])가 감소할 수 있습니다. 여기에는 저하된 신장 기능, 염분 및 수분의 불균형, 또는 심부전으로 인한 말초혈관 확장이 포함될 수 있습니다."
수정된 기사의 DOI는 무엇입니까?,10.1111/jvim.16608
QUC가 필요한 proteinuric 개를 식별하는 가장 좋은 방법은 무엇입니까?,활성화된 소변 침전물 또는 하부 요로 감염의 존재는 QUC가 필요한 proteinuric 개의 표시입니다.
고양이의 퇴행성 관절질환(DJD) 및 골관절염(OA)의 유병률은 얼마입니까?,61%에서 93%로 추정됩니다.
말의 림프종 치료에 사용되는 화학요법의 장기적인 결과는 무엇입니까?,"이 연구에서는 15마리의 말에서 완전한 관해(complete remission)가 33.3%, 부분적 반응(partial response)이 60%, 안정적 질환(stable disease)이 6.7%로 관찰되었습니다. 전체 반응률은 93.3%였으며, 중간 생존 기간은 8개월(1-46개월)이었습니다."
개에서 안정적인 신장 기능과 진행성 신장 질환을 구별하는 데 사용되는 두 가지 생체표지자의 이름은 무엇입니까?,크레아티닌과 대칭 차메틸아르기닌 (SDMA)
개에서 만성 설사의 가장 흔한 원인은 무엇입니까?,"염증성 장질환입니다. 이 연구에서 개들의 71%가 염증성 장질환으로 진단받았고, 이는 만성 설의 가장 흔한 원인이었습니다."
세프닉 새끼말의 적혈구 분포 폭과 혈소판 비율이 증가하는 이유는 무엇입니까?,"세프닉 새끼말에서 적혈구 분포 폭과 혈소판 비율이 증가하는 것은 세균성 감염으로 인한 신체의 반응입니다. 이 비율은 염증 반응을 반영하며, 연구에서는 이 비율이 0.09 이상인 경우 세균성 감염의 높은 정확도로 예측할 수 있음을 보여주었습니다."
개에서 뇌나 척수를 이미징하기 전에 어떤 검사들이 흔히 수행되는가?,"일반적으로 개에서 뇌나 척수를 이미징하기 전에 혈액 검사, 혈청 생화학 검사, 요분석, 흉부 방사선, 복부 초음파 등이 수행된다."
FSGS(Focal Segmental Glomerulosclerosis)를 가진 대부분의 개들은 어떤 특징을 보입니까?,"대부분의 개들은 암컷이었고, 고혈압이 흔했지만, 혈중 질소, 심한 저알부민혈증, 복수 또는 부종 등은 드물게 관찰되었습니다."
고양이의 호흡률이 높게 나타난 이유는 무엇일 수 있습니까?,"고양이는 호흡 곤란을 겪고 있었고, 이는 폐렴과 같은 호흡기 질환이나 심장 문제와 같은 다른 질병으로 인해 발생했을 수 있습니다."
개에게 로벤코시바를 투여하는 주요 목적은 무엇입니까?,통증 완화
이 연구에서 개들의 체중 범위는 어떻게 되었습니까?,2.0-43.0 kg
저자 멜라니 D. 크레이븐(Melanie D. Craven)이 제안한 새로운 저프로필(LP) 튜브의 주요 장점은 무엇입니까?,저프로필(LP) 튜브의 주요 장점은 환자의 자유와 편안함을 향상시키는 것입니다.
개 다발성 림프종 치료를 위한 표준 치료법은 무엇입니까?,"개 다발성 림프종의 표준 치료법은 도크소루비신(doxorubicin, DOX) 기반 조합 화학요법입니다."
PPIs가 처방되는 적절한 표시는 무엇입니까?,"PPIs의 적절한 표시는 환자의 병력(예: 역류, 위식도역류병의 증상), 신체 검사 소견(예: 통증이 있는 복부) 및 진단에 도움이 되는 영상 검사 또는 임상 병리 데이터를 포함합니다."
